,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
G036,G036,sample,NA,19537|34829,12|19,TRUE,19537|34827,12|17,Rosa Blanca 1,NA,NA,NA,NA,NA,54364,18,G36,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,535,670,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S36,,Medium,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G037,G037,sample,NA,11420|14097,6|7,TRUE,11417|14095,4|5,Rosa Blanca 1,NA,NA,NA,NA,NA,25512,6,G37,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,560,701,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S37,,Light,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G038,G038,sample,NA,16669|26286,10|19,TRUE,16665|26281, 9|18,Rosa Blanca 1,NA,NA,NA,NA,NA,42946,19,G38,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,530,660,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S38,,Light,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G039,G039,sample,NA, 7116|41283,15|18,TRUE, 7106|41258,14|17,Rosa Blanca 1,NA,NA,NA,NA,NA,48364,20,G39,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,532,676,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S39,,Alot,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G040,G040,sample,NA,21273|21933,3|4,TRUE,21273|21932,3,Rosa Blanca 1,NA,NA,NA,NA,NA,43205,4,G40,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,538,685,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S40,,Light,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G041,G041,sample,NA,12981|19721,3|6,TRUE,12980|19721,2|6,Rosa Blanca 1,NA,NA,NA,NA,NA,32701,6,G41,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,570,720,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S41,,Light with Mucus,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G042,G042,sample,NA,1703|3574, 9|16,TRUE,1185|2378, 7|14,Rosa Blanca 1,NA,NA,NA,NA,NA,3563,14,G42,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,533,684,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S42,,Alot,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G043,G043,sample,NA,1474|1877,1|6,TRUE,1474|1874,1|4,Rosa Blanca 1,NA,NA,NA,NA,NA,3348,4,G43,6/23/21,2021,6:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,554,686,,NA,Y,NA,NA,NA,32.59,Outgoing,23.33,Seine Net,,merged_6/23/21_Rosa Blanca 1_B2C1; merged_6/23/21_Rosa Blanca 1_B2C2,S43,,None,6/23/21,6:30 PM,N,,6/24/21,Almost fully evaporated after step 2 so added 325ul of PCR water,NA,NA,NA,NA,NA,NA,NA
G044,G044,sample,NA,15929|30544,4|8,TRUE,14994|29625,3|7,Rosa Blanca 2,NA,NA,NA,NA,NA,44619,8,G44,6/23/21,2021,10:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,550,660,,NA,Y,NA,NA,NA,34.07,Incoming,24.58,Gill Net,,,S44,,Medium,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
G045,G045,sample,NA,13458|24633,7|9,TRUE,152|374,3|5,Rosa Blanca 2,2556,2,TRUE,2556,2,3082,8,G45,6/23/21,2021,10:50,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,600,750,,NA,Y,NA,NA,NA,34.07,Incoming,24.58,Gill Net,,,S45,,Alot,6/23/21,6:30 PM,N,,6/24/21,,NA,NA,NA,NA,NA,NA,NA
