,sample_id,type,control_type,nb_reads.x,nb_motus.x,seqdepth_ok.x,nb_reads_postmetabaR.x,nb_motus_postmetabaR.x,Site.Name,nb_reads.y,nb_motus.y,seqdepth_ok.y,nb_reads_postmetabaR.y,nb_motus_postmetabaR.y,nb_reads,nb_motus,Sample.ID,Date.Collected..MM.DD.YYYY.,Year,Time.Net.Set..or.catch.,Island,Species..common.name.,Species..scientific.name.,Spaghetti.Tag.ID,PIT.Tag.ID,Satellite.Tag.ID,Acoustic.Tag.ID,Sex,Lateral..mm.,Girth..mm.,Proximal..mm.,Fork.Length..mm.,Stretched.Total.Length..mm.,Age_category,Weight..kg.,Blood..Y.N.,Umbilical.Scar..Y.N.,Recapture.Spaghetti.Tag.ID,Recapture.PIT.Tag.ID,Salinity..ppt.,Tide,Water.Temperature..C.,Method.of.Capture,Associated.Water.Sample.IDs,BRUV.File.Name,Assosiated.DNA.Blood.Sample,Fishing.Notes,Swab.Appearence,Date.Extraction.Started,Time.placed.in.incubator.for.Step.2,Placed.in.feezer.after.step.5...Y.N.,If.placed.in.freezer.what.date.,Date.fully.extracted,DNA.Extraction.Notes,Date.of.1st.PCR,X,X.1,X.2,X.3,X.4,X.5
G071,G071,sample,NA, 3638|11243, 7|16,TRUE,1405|5473, 5|15,Puerto Grande,NA,NA,NA,NA,NA,6878,17,G71,6/27/21,2021,5:55,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,630,530,,NA,Y,NA,NA,NA,35.06,Outgoing,22.25,Gill Net,,merged_6/27/21_Puerto Grande_B2C1; merged_6/27/21_Puerto Grande_B2C2,S71,,Alot (dark),7/19/21,2:45 PM,N,,,,NA,NA,NA,NA,NA,NA,NA
G072,G072,sample,NA,24487|39313,33|43,TRUE,24483|39310,31|42,Cerro Brujo,NA,NA,NA,NA,NA,63793,42,G72,7/1/21,2021,6:32,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,530,650,,NA,Y,NA,NA,NA,35.05,Outgoing,23.45,Gill Net,,merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4,S72,,Alot,7/1/21,5:00 PM,N,,7/2/21,,NA,NA,NA,NA,NA,NA,NA
G073,G073,sample,NA,8503|9859,4|6,TRUE,8503|9856,4|5,Cerro Brujo,NA,NA,NA,NA,NA,18359,7,G73,7/1/21,2021,6:32,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,600,850,,NA,Y,NA,NA,NA,35.05,Outgoing,23.45,Gill Net,,merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4,S73,,Light (greenish),7/1/21,5:00 PM,N,,7/2/21,,NA,NA,NA,NA,NA,NA,NA
G074,G074,sample,NA,14003|15450, 8|10,TRUE,14003|15450, 8|10,Cerro Brujo,NA,NA,NA,NA,NA,29453,11,G74,7/1/21,2021,6:32,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,554,700,,NA,Y,NA,NA,NA,35.05,Outgoing,23.45,Gill Net,,merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4,S74,,Medium,7/1/21,5:00 PM,N,,7/2/21,,NA,NA,NA,NA,NA,NA,NA
G075,G075,sample,NA, 8194|26649,4|6,TRUE, 8194|26649,4|6,Cerro Brujo,NA,NA,NA,NA,NA,34843,8,G75,7/1/21,2021,6:32,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,575,670,,NA,Y,NA,NA,NA,35.05,Outgoing,23.45,Gill Net,,merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4,S75,,Light with mucus,7/1/21,5:00 PM,N,,7/2/21,,NA,NA,NA,NA,NA,NA,NA
G076,G076,sample,NA,17697|25609,2|5,TRUE,17694|25609,2|3,Cerro Brujo,NA,NA,NA,NA,NA,43303,4,G76,7/1/21,2021,6:32,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,760,760,,NA,Y,NA,NA,NA,35.05,Outgoing,23.45,Gill Net,,merged_7/1/21_Cerro Brujo_B2C2; merged_7/1/21_Cerro Brujo_B2C4,S76,,Light,7/1/21,5:00 PM,N,,7/2/21,,NA,NA,NA,NA,NA,NA,NA
G077,G077,sample,NA, 9497|16885,3|6,TRUE, 9497|16884,3|5,Rosa Blanca 2,NA,NA,NA,NA,NA,26381,7,G77,7/3/21,2021,8:00,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,F,NA,NA,NA,540,688,,NA,Y,NA,NA,NA,33.51,Incoming,24.44,Gill Net,,,S77,, ,7/3/21,2:00 PM,N,,7/4/21,,NA,NA,NA,NA,NA,NA,NA
G078,G078,sample,NA,967,7,TRUE,966,6,Rosa Blanca 2,NA,NA,NA,NA,NA,966,6,G78,7/3/21,2021,8:00,San Cristobal,Blacktip,Carcharhinus limbatus,NA,NA,NA,NA,M,NA,NA,NA,530,665,,NA,Y,NA,NA,NA,33.51,Incoming,24.44,Gill Net,,,S78,Parasite; Got enough blood for DNA but not enough for stable isotope,Medium,7/3/21,2:00 PM,N,,7/4/21,,NA,NA,NA,NA,NA,NA,NA
G079,G079,sample,NA,14111|27540,40|45,TRUE,14105|27304,38|44,Puerto Grande,NA,NA,NA,NA,NA,41409,47,G79,7/9/21,2021,5:40,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,M,NA,NA,NA,410,540,Neonate,NA,Y,NA,NA,NA,39,Outgoing,23.8,Seine Net,,,S79,Salinity taken back at lab; Temperature taken on Eliie's watch,Alot,7/9/21,9:00 AM,N,,,,NA,NA,NA,NA,NA,NA,NA
G080,G080,sample,NA,17092|28774,37|39,TRUE,16022|26720,35|37,Puerto Grande,NA,NA,NA,NA,NA,42742,38,G80,7/9/21,2021,5:40,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,F,NA,NA,NA,415,540,Neonate,NA,Y,NA,NA,NA,39,Outgoing,23.8,Seine Net,,,S80,Salinity taken back at lab; Temperature taken on Eliie's watch,Medium (bloody),7/9/21,9:00 AM,N,,,,NA,NA,NA,NA,NA,NA,NA
G081,G081,sample,NA,4811,32,TRUE,4811,32,Puerto Grande,1120,1,TRUE,1120,1,5931,33,G81,7/9/21,2021,5:40,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,NA,NA,NA,M,NA,NA,NA,410,545,Neonate,NA,Y,NA,NA,NA,39,Outgoing,23.8,Seine Net,,,S81,Salinity taken back at lab; Temperature taken on Eliie's watch,Alot (bloody),7/9/21,9:00 AM,N,,,,NA,NA,NA,NA,NA,NA,NA
G082,G082,sample,NA,342,4,TRUE,10,1,Puerto Grande,NA,NA,NA,NA,NA,10,1,G82,3/9/22,2022,16:48,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,306,,NA,NA,M,170,250,190,600,790,,2.025,Y,N,NA,NA,32.73,Incoming,28.56,Hooks,"GW66, GW67, GW68",merged_3/9/22_Puerto Grande_B1C1; merged_3/9/22_Puerto Grande_B1C2; merged_3/9/22_Puerto Grande_B2C4; merged_3/9/22_Puerto Grande_B1C5; merged_3/9/22_Puerto Grande_B1C6,S82,Lateral and proximal measurements only taken around the top of the body,Medium,6/3/22,6:00 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G083,G083,sample,NA,4210,1,TRUE,4210,1,Puerto Grande,NA,NA,NA,NA,NA,4210,1,G83,3/10/22,2022,15:51,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,307,,NA,NA,F,310,305,330,739,975,,3.865,Y,N,NA,NA,32.55,Incoming,28.98,Hooks,"GW69, GW71",merged_3/10/22_Puerto Grande_B1C1; merged_3/10/22_Puerto Grande_B1C2; merged_3/10/22_Puerto Grande_B2C4; merged_3/10/22_Puerto Grande_B1C5; merged_3/10/22_Puerto Grande_B1C6,S83,,Light (bloody),6/3/22,6:00 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G084,G084,sample,NA,25932,1,TRUE,25932,1,Puerto Grande,NA,NA,NA,NA,NA,25932,1,G84,3/10/22,2022,16:15,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,308,,NA,NA,F,305,310,290,605,930,,3.565,Y,N,NA,NA,32.55,Incoming,28.98,Hooks,"GW69, GW71",merged_3/10/22_Puerto Grande_B1C1; merged_3/10/22_Puerto Grande_B1C2; merged_3/10/22_Puerto Grande_B2C4; merged_3/10/22_Puerto Grande_B1C5; merged_3/10/22_Puerto Grande_B1C6,S84,,None,6/3/22,6:00 PM,N,NA,,"Evaporated completely after incubation, added 325ul H2O, 75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC)",10/4/23,NA,NA,NA,NA,NA,NA
G086,G086,sample,NA,289,1,TRUE,289,1,Puerto Grande,NA,NA,NA,NA,NA,289,1,G86,3/13/22,2022,5:26,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,323,,NA,NA,F,170,190,170,385,480,,NA,Y,,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S86,"2 Hammerheads released from the net, one blacktip died",Alot (dark),6/3/22,6:00 PM,N,NA,,"Evaporated completely after incubation, added 325ul H2O, 75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC)",10/4/23,NA,NA,NA,NA,NA,NA
G088,G088,sample,NA,18068,1,TRUE,18068,1,Puerto Grande,NA,NA,NA,NA,NA,18068,1,G88,3/13/22,2022,5:29,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,348,,NA,NA,F,170,170,150,390,520,,0.565,Y,N,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S88,"2 Hammerheads released from the net, one blacktip died",Light (bloody),6/3/22,6:00 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G089,G089,sample,NA,411,1,TRUE,411,1,Puerto Grande,19142,1,TRUE,19142,1,19553,2,G89,3/13/22,2022,5:33,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,347,,NA,NA,M,180,190,180,400,540,Neonate,0.365,N,N,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S89,"2 Hammerheads released from the net, one blacktip died",Alot (dark),6/3/22,6:00 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G090,G090,sample,NA,1164,1,TRUE,1164,1,Puerto Grande,NA,NA,NA,NA,NA,1164,1,G90,3/13/22,2022,5:37,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,346,,NA,NA,F,180,200,200,430,560,,0.765,Y,N,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S90,"2 Hammerheads released from the net, one blacktip died",None,6/3/22,6:00 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G091,G091,sample,NA,18264,2,TRUE,18264,2,Puerto Grande,NA,NA,NA,NA,NA,18264,2,G91,3/13/22,2022,5:39,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,345,,NA,NA,F,160,160,155,300,375,Neonate,0.465,Y,,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S91,"2 Hammerheads released from the net, one blacktip died",Light (yellowish),6/3/22,6:00 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G092,G092,sample,NA,4038,1,TRUE,4038,1,Puerto Grande,NA,NA,NA,NA,NA,4038,1,G92,3/13/22,2022,5:42,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,344,,NA,NA,M,180,200,180,430,550,,0.565,Y,N,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S92,"2 Hammerheads released from the net, one blacktip died",Medium,6/4/22,11:30 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G093,G093,sample,NA,577,1,TRUE,577,1,Puerto Grande,NA,NA,NA,NA,NA,577,1,G93,3/13/22,2022,5:47,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,343,,NA,NA,M,160,170,150,300,500,,0.465,Y,N,NA,NA,34.12,Outgoing,26.63,Seine Net,"GW72, GW73, GW74",merged_3/13/22_Puerto Grande_B1C8; merged_3/13/22_Puerto Grande_B1C9; merged_3/13/22_Puerto Grande_B2C7,S93,"2 Hammerheads released from the net, one blacktip died",Medium (redish brown),6/4/22,11:30 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G095,G095,sample,NA,263,1,TRUE,263,1,Puerto Grande,NA,NA,NA,NA,NA,263,1,G95,6/1/22,2022,5:26,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F80,NA,NA,M,130,230,140,380,520,,0.465,Y,Y,NA,NA,35.35,Outgoing,22.25,Seine Net,"GW75, GW76",merged_6/1/22_Puerto Grande_B1C4; merged_6/1/22_Puerto Grande_B2C5; merged_6/1/22_Puerto Grande_B2C6,S95,Recap. but number was not collected,Light (bloody),6/4/22,11:30 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G096,G096,sample,NA,17956,1,TRUE,17956,1,Puerto Grande,NA,NA,NA,NA,NA,17956,1,G96,6/1/22,2022,5:32,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F65,NA,NA,M,140,200,130,380,510,,0.465,Y,Y,331,NA,35.35,Outgoing,22.25,Seine Net,"GW75, GW76",merged_6/1/22_Puerto Grande_B1C4; merged_6/1/22_Puerto Grande_B2C5; merged_6/1/22_Puerto Grande_B2C6,S96,,Light (yellowish),6/4/22,11:30 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G097,G097,sample,NA,1150,4,TRUE,951,1,Puerto Grande,NA,NA,NA,NA,NA,951,1,G97,6/1/22,2022,5:36,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F36,NA,NA,M,150,210,160,480,620,,1.075,Y,N,NA,NA,35.35,Outgoing,22.25,Seine Net,"GW75, GW76",merged_6/1/22_Puerto Grande_B1C4; merged_6/1/22_Puerto Grande_B2C5; merged_6/1/22_Puerto Grande_B2C6,S97,,Medium (greenish),6/4/22,11:30 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G098,G098,sample,NA,7424,4,TRUE,7408,2,Puerto Grande,NA,NA,NA,NA,NA,7408,2,G98,6/1/22,2022,5:41,San Cristobal,Scalloped Hammerhead,Sphyrna lewini,NA,3DD.003E270F40,NA,NA,M,160,210,160,490,610,YOY,1.015,Y,Y,NA,NA,35.35,Outgoing,22.25,Seine Net,"GW75, GW76",merged_6/1/22_Puerto Grande_B1C4; merged_6/1/22_Puerto Grande_B2C5; merged_6/1/22_Puerto Grande_B2C6,S98,Slight umbilical scar,None,6/4/22,11:30 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G099,G099,sample,NA,3061,2,TRUE,3061,2,Grimanesa,NA,NA,NA,NA,NA,3061,2,G99,6/9/22,2022,13:25,Isabela,Blacktip,Carcharhinus limbatus,NA,1499545,NA,NA,M,NA,NA,NA,560,670,,2.38,Y,Y,NA,NA,34.28,Outgoing,23.22,Gill Net,,merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5,S99,,Medium,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G100,G100,sample,NA,23042,3,TRUE,23042,3,Grimanesa,NA,NA,NA,NA,NA,23042,3,G100,6/9/22,2022,13:30,Isabela,Blacktip,Carcharhinus limbatus,NA,1502787,NA,NA,F,NA,NA,NA,640,700,,2.95,Y,N,NA,NA,34.28,Outgoing,23.22,Gill Net,,merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5,S100,,None,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G101,G101,sample,NA,26216,4,TRUE,26215,3,Grimanesa,NA,NA,NA,NA,NA,26215,3,G101,6/9/22,2022,13:41,Isabela,Blacktip,Carcharhinus limbatus,NA,1501409,NA,NA,M,NA,NA,NA,550,660,,2.27,Y,N,NA,NA,34.28,Outgoing,23.22,Gill Net,,merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5,S101,,None,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G102,G102,sample,NA,15153,3,TRUE,15153,3,Grimanesa,NA,NA,NA,NA,NA,15153,3,G102,6/9/22,2022,13:53,Isabela,Blacktip,Carcharhinus limbatus,NA,1498229,NA,NA,M,NA,NA,NA,710,800,,4.08,Y,N,NA,NA,34.28,Outgoing,23.22,Gill Net,,merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5,S102,,None,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G103,G103,sample,NA,9032,2,TRUE,9032,2,Grimanesa,NA,NA,NA,NA,NA,9032,2,G103,6/9/22,2022,14:10,Isabela,Blacktip,Carcharhinus limbatus,NA,1499134,NA,NA,M,NA,NA,NA,700,870,,4.19,Y,N,NA,NA,34.28,Outgoing,23.22,Gill Net,,merged_6/9/22_Grimanesa_B1C3; merged_6/9/22_Grimanesa_B2C4; merged_6/9/22_Grimanesa_B2C5,S103,,None,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G104,G104,sample,NA,56301,3,TRUE,56301,3,La Bomba,3211,1,TRUE,3211,1,59512,4,G104,6/10/22,2022,16:45,Santiago,Blacktip,Carcharhinus limbatus,411,,NA,NA,F,NA,NA,NA,540,640,,2.04,Y,N,NA,NA,35.23,Outgoing,23.56,Gill Net,,merged_6/10/22_La Bomba_B1C5; merged_6/10/22_La Bomba_B2C4; merged_6/10/22_La Bomba_B2C6,S104,,Medium (brown),7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G105,G105,sample,NA,5082,1,TRUE,5082,1,La Bomba,NA,NA,NA,NA,NA,5082,1,G105,6/10/22,2022,17:01,Santiago,Blacktip,Carcharhinus limbatus,410,,NA,NA,M,NA,NA,NA,540,640,,2.04,Y,Y,NA,NA,35.23,Outgoing,23.56,Gill Net,,merged_6/10/22_La Bomba_B1C5; merged_6/10/22_La Bomba_B2C4; merged_6/10/22_La Bomba_B2C6,S105,,None,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G106,G106,sample,NA,24433,1,TRUE,24433,1,Albermarle,NA,NA,NA,NA,NA,24433,1,G106,6/11/22,2022,9:00,Isabela,Blacktip,Carcharhinus limbatus,430,1502772,NA,NA,M,NA,NA,NA,670,750,,3.74,Y,N,NA,NA,35.24,Incoming,22.61,Gill Net,,merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9,S106,,Light,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G107,G107,sample,NA,2006,3,TRUE,2006,3,Albermarle,NA,NA,NA,NA,NA,2006,3,G107,6/11/22,2022,9:10,Isabela,Blacktip,Carcharhinus limbatus,429,1501671,NA,NA,F,NA,NA,NA,765,890,,5.78,Y,N,NA,NA,35.24,Incoming,22.61,Gill Net,,merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9,S107,,Light,7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G108,G108,sample,NA,29905,3,TRUE,29905,3,Albermarle,NA,NA,NA,NA,NA,29905,3,G108,6/11/22,2022,11:14,Isabela,Blacktip,Carcharhinus limbatus,415,,NA,NA,M,NA,NA,NA,610,720,,2.83,Y,N,NA,NA,35.24,Incoming,22.61,Gill Net,,merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9,S108,,Light (yellowish),7/22/22,11:24 AM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G109,G109,sample,NA,50408,2,TRUE,50367,1,Albermarle,NA,NA,NA,NA,NA,50367,1,G109,6/11/22,2022,11:36,Isabela,Blacktip,Carcharhinus limbatus,418,,NA,NA,M,NA,NA,NA,660,775,,3.74,Y,N,NA,NA,35.24,Incoming,22.61,Gill Net,,merged_6/11/22_Albermarle_B1C1; merged_6/11/22_Albermarle_B1C4; merged_6/11/22_Albermarle_B2C2; merged_6/11/22_Albermarle_B2C3; merged_6/11/22_Albermarle_B2C5; merged_6/11/22_Albermarle_B2C6; merged_6/11/22_Albermarle_B1C9,S109,,None,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G110,G110,sample,NA,65120,4,TRUE,65120,4,Punta Espinoza,NA,NA,NA,NA,NA,65120,4,G110,6/12/22,2022,10:57,Fernandina,Blacktip,Carcharhinus limbatus,419,,NA,NA,F,NA,NA,NA,705,840,,4.65,Y,N,NA,NA,34.45,Incoming,22.45,Gill Net,,merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2,S110,,Light,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G111,G111,sample,NA,8532,3,TRUE,8532,3,Punta Espinoza,NA,NA,NA,NA,NA,8532,3,G111,6/12/22,2022,11:02,Fernandina,Blacktip,Carcharhinus limbatus,427,,NA,NA,M,NA,NA,NA,580,705,,2.72,Y,Y,NA,NA,34.45,Incoming,22.45,Gill Net,,merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2,S111,,Light (yellowish),7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G112,G112,sample,NA,20548,4,TRUE,20548,4,Punta Espinoza,NA,NA,NA,NA,NA,20548,4,G112,6/12/22,2022,11:09,Fernandina,Blacktip,Carcharhinus limbatus,421,,NA,NA,F,NA,NA,NA,700,830,,4.88,Y,N,NA,NA,34.45,Incoming,22.45,Gill Net,,merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2,S112,,None,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G113,G113,sample,NA,6258,3,TRUE,6258,3,Punta Espinoza,NA,NA,NA,NA,NA,6258,3,G113,6/12/22,2022,11:13,Fernandina,Blacktip,Carcharhinus limbatus,420,,NA,NA,F,NA,NA,NA,530,625,,2.27,Y,Y,NA,NA,34.45,Incoming,22.45,Gill Net,,merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2,S113,,Light,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G114,G114,sample,NA,5976,4,TRUE,5976,4,Punta Espinoza,NA,NA,NA,NA,NA,5976,4,G114,6/12/22,2022,11:15,Fernandina,Blacktip,Carcharhinus limbatus,NA,,NA,NA,F,NA,NA,NA,490,600,,1.81,Y,Y,NA,NA,34.45,Incoming,22.45,Gill Net,,merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2,S114,,Alot,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
G115,G115,sample,NA,60580,4,TRUE,60580,4,Punta Espinoza,NA,NA,NA,NA,NA,60580,4,G115,6/12/22,2022,11:30,Fernandina,Blacktip,Carcharhinus limbatus,412,,NA,NA,F,NA,NA,NA,550,700,,2.72,Y,Y,NA,NA,34.45,Incoming,22.45,Gill Net,,merged_6/12/22_Punta Espinoza_B1C3; merged_6/12/22_Punta Espinoza_B2C1; merged_6/12/22_Punta Espinoza_B2C2,S115,,Light,7/24/22,2:10 PM,N,NA,,75ul in orange vial for exportation (25ul left in microcentrifuge tube for biobank storage at GSC),10/4/23,NA,NA,NA,NA,NA,NA
